date,ticker,low,high,open,close
20051007,GOOG,310.54,316.67,315.01,312.99
20051010,GOOG,309.15,314.82,313.31,310.65
20051011,GOOG,304.86,312.65,310.61,306.1
20051012,GOOG,299,307.19,305.2,300.97
20051013,GOOG,290.685,302,302,297.44
20051014,GOOG,292.54,300.23,299.9,296.14
20051017,GOOG,294.56,305.2,297.5,305
20051018,GOOG,302.74,307.96,304.96,303.28
20051019,GOOG,303.96,309.87,304,308.7
20051020,GOOG,301.21,311.13,309.99,303.2
20051021,GOOG,333,346.43,345.63,339.9
20051024,GOOG,342.19,349.3,343.37,348.65
20051025,GOOG,342.86,347.4,345.37,346.91
20051026,GOOG,346.19,356,346.28,355.44
20051027,GOOG,351.68,357.09,357.09,353.06
20051028,GOOG,355.02,358.95,355.6,358.17
20051031,GOOG,359.51,374.75,360.24,372.14
20051101,GOOG,369.01,383.9,371.86,379.38
20051102,GOOG,377.17,385,381.7,379.68
20051103,GOOG,381.38,386.58,382.24,385.95
20051104,GOOG,385.45,391.79,389.98,390.43
20051107,GOOG,392.15,397.47,394.94,395.03
20051108,GOOG,388.58,395.59,394.25,389.9
20051109,GOOG,378.03,388.29,386.67,379.15
20051110,GOOG,377.43,391.35,378.36,391.1
20051111,GOOG,388.85,396.9,395.12,390.4
20051114,GOOG,391.53,398.22,392.22,396.97
20051115,GOOG,390.95,397,394.38,392.8
20051116,GOOG,394.11,398.85,396.2,398.15
20051117,GOOG,399.53,403.81,401.8,403.45
20051118,GOOG,399.85,404.5,403.49,400.21
20051121,GOOG,393.49,409.98,399.17,409.36
20051122,GOOG,406.23,417.31,408.65,416.47
20051123,GOOG,415.78,424.72,417.04,422.86
20051125,GOOG,425.3,428.75,425.78,428.62
20051128,GOOG,422.44,431.24,430.11,423.48
20051129,GOOG,402.14,426.4,424.46,403.54
20051130,GOOG,395.56,408.45,404.26,404.9125
20051201,GOOG,408.29,415.44,409.1,414.0901
20051202,GOOG,413.86,419.53,416.94,417.7
20051205,GOOG,404.28,417.5,417,405.85
20051206,GOOG,401.7,416.41,408.7,404.54
20051207,GOOG,399.01,406.7,406.21,404.22
20051208,GOOG,402.64,410.65,405.3,410.65
20051209,GOOG,408.56,415.78,415,409.2
20051212,GOOG,409.95,415.21,414.63,412.612
20051213,GOOG,411.64,418,412.5,417.49
20051214,GOOG,415.49,419.73,417.04,418.96
20051215,GOOG,416.5,423.14,419.11,422.53
20051216,GOOG,422.75,432.5,425.34,430.15
20051219,GOOG,420.11,446.21,432.2,424.6
20051220,GOOG,424.67,432.2,427.9,429.74
20051221,GOOG,420.71,436.86,433.55,426.33
20051222,GOOG,425.93,432.86,431.765,432.04
20051223,GOOG,428.78,432.5,432.15,430.93
20051227,GOOG,422.76,431.86,431.86,424.64
20051228,GOOG,421.26,427.78,424.34,426.69
20051229,GOOG,419.17,428.73,428.03,420.15
20051230,GOOG,413.74,418.21,417.27,414.86
20060103,GOOG,418.22,435.67,422.52,435.23
20060104,GOOG,439.75,448.96,443.9,445.24
20060105,GOOG,441.5,451.55,446,451.24
20060106,GOOG,453.24,470.5,456.95,465.66
20060109,GOOG,460.94,473.4,466.41,466.9001
20060110,GOOG,462.04,470.25,464.42,469.76
20060111,GOOG,469.18,475.11,471.45,471.63
20060112,GOOG,461.5,474.99,473.73,463.63
20060113,GOOG,461.61,466.89,464.31,466.25
20060117,GOOG,462.53,469.9,463.06,467.11
20060118,GOOG,443.25,457.36,447.3,444.9099
20060119,GOOG,433,453.49,450.94,436.445
20060120,GOOG,394.74,440.03,438.7,399.4601
20060123,GOOG,405.73,428.39,407.65,427.5
20060124,GOOG,434.48,444.95,436.7,443.03
20060125,GOOG,429.22,454.23,451.65,433
20060126,GOOG,423.56,439.99,439.54,434.265
20060127,GOOG,428.98,438.22,434.87,433.49
20060130,GOOG,425,433.28,429.23,426.82
20060131,GOOG,423.973,439.6,430.86,432.6601
20060201,GOOG,387.52,402,389.39,401.78
20060202,GOOG,395.98,406.5,404.09,396.04
20060203,GOOG,372.57,393.9,393.62,381.555
20060206,GOOG,379.56,389.9,385.31,385.1
20060207,GOOG,363.345,383.7,382.99,367.92
20060208,GOOG,354.67,370.69,368.89,369.08
20060209,GOOG,356.11,374.4,371.2,358.77
20060210,GOOG,353.14,364.5,361.95,362.61
20060213,GOOG,341.89,350.6,346.25,345.7
20060214,GOOG,342.4,351.69,345.33,343.32
20060215,GOOG,337.83,346,341.27,342.38
20060216,GOOG,344.49,367,345.67,366.46
20060217,GOOG,363.62,372.14,370.08,368.75
20060221,GOOG,365.11,373.54,366.44,366.59
20060222,GOOG,363.86,368.95,367.15,365.49
20060223,GOOG,365.39,381.24,365.61,378.07
20060224,GOOG,373.49,380.07,377.3,377.4
20060227,GOOG,380.28,391.7,381.27,390.375
20060228,GOOG,338.51,397.54,393.2,362.62
20060301,GOOG,361.3,369.45,368.56,364.8
